time,well_id,pore_pressure_bar,flowing_bhp_bar,drawdown_bar,reservoir_temp_c,crude_viscosity_cp,gas_oil_ratio_scf_bbl,water_cut_pct,tubing_pressure_bar,casing_pressure_bar,fluid_level_m,pump_speed_spm,pump_fillage_pct,peak_rod_load_lbs,motor_power_kw,dynacard_condition,oil_rate_bbld,gas_rate_mscfd,steam_temp_c,trigger_source,delta_note
2026-09-17 16:40:13,BW-07,152.08,98.58,53.5,78.6,33.9,313.5,28.4,148.2,91.3,1250.5,5.8,84.7,18294.0,16.3,Normal Full Fillage,34.7,10.88,285.0,Python Auto-Streamer,Synthetic SCADA packet #1
2026-09-17 16:40:13,BW-07,152.16,98.89,53.27,78.7,33.9,314.9,28.4,147.9,91.5,1252.8,5.8,85.3,18382.0,16.5,Normal Full Fillage,34.9,10.99,285.0,Python Auto-Streamer,Synthetic SCADA packet #2
2026-09-17 16:40:13,BW-07,152.22,99.24,52.98,78.8,34.0,316.1,28.4,147.7,91.6,1254.8,5.8,85.9,18459.0,16.6,Normal Full Fillage,35.1,11.1,285.0,Python Auto-Streamer,Synthetic SCADA packet #3
2026-09-17 16:40:13,BW-07,152.27,99.18,53.09,78.8,33.7,317.0,28.3,147.5,91.7,1256.4,5.8,86.4,18520.0,16.7,Normal Full Fillage,35.3,11.19,285.0,Python Auto-Streamer,Synthetic SCADA packet #4
2026-09-17 16:40:13,BW-07,152.31,99.45,52.86,78.9,33.8,317.7,28.4,147.4,91.8,1257.5,5.8,86.7,18561.0,16.8,Normal Full Fillage,35.3,11.21,285.0,Python Auto-Streamer,Synthetic SCADA packet #5
2026-09-17 16:40:13,BW-07,152.32,99.6,52.72,78.9,33.8,318.0,28.5,147.3,91.8,1258.0,5.8,86.8,18579.0,16.8,Normal Full Fillage,35.3,11.23,285.0,Python Auto-Streamer,Synthetic SCADA packet #6
2026-09-17 16:40:13,BW-07,152.31,99.61,52.7,78.9,33.8,317.9,28.5,147.3,91.8,1257.8,5.8,86.8,18574.0,16.8,Normal Full Fillage,35.3,11.22,285.0,Python Auto-Streamer,Synthetic SCADA packet #7
2026-09-17 16:40:13,BW-07,152.28,99.5,52.78,78.9,33.6,317.5,28.4,147.4,91.7,1257.1,5.8,86.5,18546.0,16.7,Normal Full Fillage,35.3,11.21,285.0,Python Auto-Streamer,Synthetic SCADA packet #8
2026-09-17 16:40:13,BW-07,152.23,99.21,53.02,78.8,33.4,316.7,28.4,147.6,91.7,1255.8,5.8,86.2,18496.0,16.7,Normal Full Fillage,35.2,11.15,285.0,Python Auto-Streamer,Synthetic SCADA packet #9
2026-09-17 16:40:13,BW-07,152.16,99.16,53.0,78.7,33.4,315.6,28.4,147.8,91.6,1254.0,5.8,85.7,18427.0,16.6,Normal Full Fillage,35.0,11.05,285.0,Python Auto-Streamer,Synthetic SCADA packet #10
